name,path,volume,date
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170703.jcsv,4960230,20170703
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170705.jcsv,5192910,20170705
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170704.jcsv,11605740,20170704
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170707.jcsv,14498310,20170707
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170706.jcsv,5408190,20170706
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170518.jcsv,5936790,20170518
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170216.jcsv,8456730,20170216
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170215.jcsv,10296420,20170215
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170214.jcsv,7241130,20170214
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170213.jcsv,13061220,20170213
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170210.jcsv,6372180,20170210
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170510.jcsv,2970960,20170510
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170511.jcsv,4041330,20170511
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170512.jcsv,4428030,20170512
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170316.jcsv,8360760,20170316
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170515.jcsv,4523280,20170515
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170516.jcsv,4700100,20170516
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170517.jcsv,4557240,20170517
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171108.jcsv,2877300,20171108
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171109.jcsv,3152460,20171109
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171101.jcsv,4044240,20171101
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171102.jcsv,5603460,20171102
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171103.jcsv,2959470,20171103
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171106.jcsv,4780140,20171106
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171107.jcsv,4611900,20171107
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170907.jcsv,5529570,20170907
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170109.jcsv,7177440,20170109
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170106.jcsv,10546500,20170106
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170317.jcsv,5048610,20170317
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170104.jcsv,11037930,20170104
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170103.jcsv,3368520,20170103
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170526.jcsv,3078330,20170526
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170313.jcsv,9654210,20170313
ag1708,/kywk/strategy/strange/future/ag/ag2017/ag1708/ag1708_20170222.jcsv,48411870,20170222
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170223.jcsv,8392380,20170223
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170220.jcsv,5358540,20170220
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170221.jcsv,7747800,20170221
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170227.jcsv,8700330,20170227
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170224.jcsv,13276230,20170224
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170509.jcsv,2643780,20170509
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170508.jcsv,3706410,20170508
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170503.jcsv,3141060,20170503
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170502.jcsv,3343530,20170502
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170505.jcsv,5390010,20170505
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170504.jcsv,8224200,20170504
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171113.jcsv,3448170,20171113
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171110.jcsv,3149190,20171110
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171117.jcsv,1855770,20171117
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171116.jcsv,2999610,20171116
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171115.jcsv,2608170,20171115
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20171114.jcsv,2384970,20171114
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170217.jcsv,6749970,20170217
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170519.jcsv,6263850,20170519
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170203.jcsv,3327480,20170203
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170623.jcsv,4201620,20170623
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170601.jcsv,5551320,20170601
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170602.jcsv,5096520,20170602
ag1706,/kywk/strategy/strange/future/ag/ag2017/ag1706/ag1706_20170330.jcsv,4497540,20170330
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170605.jcsv,8043360,20170605
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170606.jcsv,5769510,20170606
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170607.jcsv,4273320,20170607
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170608.jcsv,4333980,20170608
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170609.jcsv,7204080,20170609
ag1712,/kywk/strategy/strange/future/ag/ag2017/ag1712/ag1712_20170531.jcsv,2962230,20170531
ag1806,/kywk/strategy/strange/future/ag/ag2017/ag1806/ag1806_20171128.jcsv,5544210,20171128
ag1806,/kywk/strategy/strange/future/ag/ag2017/ag1806/ag1806_20171129.jcsv,6357030,20171129
