name,path,volume,date
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160722.jcsv,15742230,20160722
ag1611,/kywk/strategy/strange/future/ag/ag2016/ag1611/ag1611_20160914.jcsv,2244840,20160914
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160720.jcsv,10404750,20160720
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160721.jcsv,14374260,20160721
ag1702,/kywk/strategy/strange/future/ag/ag2016/ag1702/ag1702_20160822.jcsv,9044910,20160822
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160331.jcsv,5181570,20160331
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160330.jcsv,7839330,20160330
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161129.jcsv,10633740,20161129
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161128.jcsv,14168640,20161128
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161125.jcsv,9989610,20161125
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161124.jcsv,13625430,20161124
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161123.jcsv,7201380,20161123
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161122.jcsv,9312690,20161122
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161121.jcsv,8035290,20161121
ag1704,/kywk/strategy/strange/future/ag/ag2016/ag1704/ag1704_20161017.jcsv,8947350,20161017
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161219.jcsv,7607040,20161219
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160531.jcsv,5670000,20160531
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160530.jcsv,8345850,20160530
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160630.jcsv,12350160,20160630
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160429.jcsv,14063640,20160429
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160428.jcsv,13751790,20160428
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161110.jcsv,11223330,20161110
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161111.jcsv,11553270,20161111
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161116.jcsv,5926980,20161116
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161117.jcsv,4978620,20161117
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160229.jcsv,11650560,20160229
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161115.jcsv,7511310,20161115
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160421.jcsv,23808120,20160421
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160420.jcsv,24720480,20160420
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160225.jcsv,10130580,20160225
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160224.jcsv,4099560,20160224
ag1610,/kywk/strategy/strange/future/ag/ag2016/ag1610/ag1610_20160425.jcsv,8086350,20160425
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160222.jcsv,6093360,20160222
ag1607,/kywk/strategy/strange/future/ag/ag2016/ag1607/ag1607_20160427.jcsv,211769490,20160427
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160426.jcsv,9728730,20160426
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160509.jcsv,7499400,20160509
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160503.jcsv,4215600,20160503
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160506.jcsv,9158430,20160506
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160504.jcsv,7821180,20160504
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160505.jcsv,5390430,20160505
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160629.jcsv,16011300,20160629
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160628.jcsv,5899620,20160628
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160623.jcsv,5718300,20160623
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160622.jcsv,6880200,20160622
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160621.jcsv,6370650,20160621
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160620.jcsv,6862170,20160620
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160627.jcsv,10272570,20160627
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160624.jcsv,15365670,20160624
ag1610,/kywk/strategy/strange/future/ag/ag2016/ag1610/ag1610_20161014.jcsv,0,20161014
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161028.jcsv,5283900,20161028
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161104.jcsv,8312700,20161104
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161107.jcsv,5973060,20161107
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160216.jcsv,5354490,20160216
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160217.jcsv,4514580,20160217
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161103.jcsv,8138820,20161103
